silicon | -n.硅(旧名矽)
numerical | -a.数字的，数值的
numerical | -a.数字的，数值的
decisive | -a.决定性的；果断的
decisive | -a.决定性的；果断的
budget | -n.预算，预算案
budget | -n.预算，预算案
successor | -n.继承人，继任者
nourish | -vt.提供养分，养育
ballet | -n.芭蕾舞；舞剧
majesty | -n.威严，尊严；陛下
metropolitan | -a.主要都市的n.大主教
hostage | -n.人质，抵押品
cathedral | -n.总教堂；大教堂
terrace | -n.平台，阳台，露台
instrumental | -a.仪器的；有帮助的
reap | -vt.&vi.收割，收获
flee | -vi.逃走 vt.逃避
corrupt | -vt.贿赂 a.腐败的
spectator | -n.参观者，观众
quantify | -vt.确定…的数量
practicable | -a.能实行的；适用的
doom | -n.命运，毁灭 vt.注定
overthrow | -vt.推翻 n.推翻，瓦解
foul | -a.肮脏的；丑恶的
realistic | -a.现实的；现实主义的
subjective | -a. 主观的,个人的
appreciable | -a.可估价的；可察觉的
dome | -n.圆屋顶，拱顶
initiative | -a.创始的 n.第一步
initiative | -a.创始的 n.第一步
bewilder | -vt.迷惑，把…弄糊涂
bewilder | -vt.迷惑，把…弄糊涂
presumably | -ad.推测起来，大概
converge | -vi. 聚合,集中于一点
assimilate | -vt. 使同化,吸收,比较
degrade | -vt.使降给；使堕落
historian | -n.历史学家；编史家
imitation | -n.仿制品，伪制物
tuition | -n.教，教诲；学费
intervene | -vi.干涉，干预；播进
imaginative | -a. 想象的,虚构的
ignite | -vt.引燃 vi.着火
overthrow | -vt.推翻 n.推翻，瓦解
contempt | -n.轻蔑；藐视
oath | -n.誓言，誓约，宣誓
humanity | -n.人类；人性，人情
indulge | -vt.放纵(感情)vi.纵情
indulge | -vt.放纵(感情)vi.纵情
commodity | -n.日用品，商品，物品
verge | -n.边缘，边界，界限
Pope | -n.(罗马天主教的)教皇
compliment | -n.问候 vt.赞美，祝贺
envisage | -vt. 面对,正视,想象
pastime | -n.消遣，娱乐
insane | -a. 患精神病的,不理智的
eclipse | -n.(日，月)食
tribute | -n.贡物；献礼，贡献
tribute | -n.贡物；献礼，贡献
recipient | -n. 接受者，接收者
coincide | -vi.相符合；相巧合
apt | -a.恰当的；聪明的
watt | -n.瓦(特)
hurl | -vt.猛投 vi.猛冲
compile | -vt.编辑，编制，搜集
assert | -vt.断言，宣称；维护
enlighten | -vt.启发，开导；启蒙
senator | -n.参议员；评议员
eternal | -n.永久的；不朽的
savage | -a.未开发的,野蛮
whereby | -ad.靠什么；靠那个
clash | -n.碰撞声；抵触，冲突
denounce | -vt.谴责，声讨；告发
supersonic | -a.超声的，超声速的
robust | -a. 强健的,粗野的,坚定的
relay | -vt.分程传递；使接替
hemisphere | -n.半球；半球地图
staircase | -n.楼梯，楼梯间
ethnic | -a.民族特有的
spy | -n.间谍，特务 vt.侦察
comedy | -n.喜剧；喜剧场面
comedy | -n.喜剧；喜剧场面
refugee | -n.难民，流亡者
refugee | -n.难民，流亡者
strategic | -a. 战略的,战略上的
seminar | -n. 研究会,讨论发表会
ivory | -n.象牙；牙质；乳白色
enroll | -vt.登记，招收 vi.参军
pursuit | -n.追赶；追求；事务
provocative | -a. 挑衅的,刺激的,挑逗的
context | -n.上下文；来龙去脉
versatile | -a.多方面的；通用的
comet | -n. 慧星
prayer | -n.祈祷，祈求
ultraviolet | -a.紫外的 n.紫外线辐射
agreeable | -a.惬意的；同意的
conviction | -n.确信，信服，深信
stationary | -a.固定的,静止不动的
contaminate | -vt. 弄脏,毒害,传染
ample | -a.足够的；宽敞的
thrill | -vt.&vi.(使)激动
solidarity | -n.团结；休戚相关
offset | -n.分支，抵销 vt.抵销
entail | -vt. 使必需,使承担
proclaim | -vt.宣告，宣布；表明
petty | -a.细小的；器量小的
immerse | -vt.沉浸；给…施洗礼
embed | -vt. 使插入,使嵌入
coherent | -a.粘着的；紧凑的
magnify | -vt.放大，扩大
bypass | -n.旁通管 vt.绕过
skeptical | -a. 怀疑的,多疑的
synthesis | -n.合成；综合，综合物
inventory | -n. 详细目录,存货清单
overwhelm | -vt.压倒，使不知所措
locomotive | -a.运动的；机动
sponge | -n.海绵
tariff | -n.关税,价格表,收费表 vt. 课以关税
probe | -n.探针 vt.用探针探查
polar | -a.南(北)极的；极性的
seemingly | -ad.表面上，外表上
presentation | -n.介绍；赠送；呈现
